,Mean,Std
train_acc,0.9278806392075737,0.03920106635016777
train_prec,0.9290512177502649,0.037916247129367885
train_rec,0.908832619272267,0.050952892320577356
train_f1,0.918794009564194,0.044540337388851936
train_auc,0.9758142372869952,0.0196803100773319
val_acc,0.8377233756843302,0.025524346022700168
val_prec,0.8700846911153001,0.023592926586526883
val_rec,0.7545308557008488,0.09160027805972541
val_f1,0.8051762670086386,0.04520980137599457
val_auc,0.9194448086905941,0.008569848608161349
test_acc,0.794583356976451,0.03288538190609364
test_prec,0.7300646167558044,0.04794239302632233
test_rec,0.8688258994125158,0.0362298848802408
test_f1,0.7924802292582328,0.02825106263883522
test_auc,0.8966412191010823,0.025802235753825137
