epoch,train_acc,train_prec,train_rec,train_f1,train_auc,val_acc,val_prec,val_rec,val_f1,val_auc
1,0.647674419,0.691240243,0.761222541,0.724545455,0.68617333,0.651351351,0.677725118,0.700980392,0.689156627,0.70408103
2,0.684302326,0.72459893,0.776504298,0.749654219,0.732059759,0.664864865,0.665289256,0.789215686,0.721973094,0.728384125
3,0.708139535,0.745274527,0.790830946,0.767377201,0.773267143,0.654054054,0.713483146,0.62254902,0.664921466,0.704553508
4,0.736627907,0.771978022,0.805157593,0.788218794,0.809457716,0.667567568,0.68,0.75,0.713286713,0.717517127
5,0.762209302,0.79266055,0.8252149,0.808610201,0.831355702,0.586486486,0.587628866,0.838235294,0.690909091,0.649214505
6,0.786627907,0.813075506,0.843361987,0.827941866,0.854149193,0.637837838,0.635658915,0.803921569,0.70995671,0.720174817
7,0.837209302,0.862134089,0.872015282,0.867046534,0.905452641,0.664864865,0.683486239,0.730392157,0.706161137,0.702840775
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Test ? ACC: 0.6979, PREC: 0.7102, REC: 0.8128, F1: 0.7580, AUC: 0.7788",,,,,,,,,,
