,precision,recall,f1_score,accuracy,auc,tn,fp,fn,tp
mean,0.6945668387837062,0.9464824879227054,0.7993414010298707,0.6754545454545454,0.5831246314184066,65.0,3.6666666666666665,28.666666666666668,2.3333333333333335
std,0.04579479855164839,0.0795479700759671,0.03862232836121151,0.04869367905760755,0.07298534162303516,7.211102550927978,5.507570547286102,5.686240703077327,4.041451884327381
