epoch,train_loss,train_acc,train_prec,train_rec,train_f1,train_auc,val_acc,val_prec,val_rec,val_f1,val_auc
1,0.549996932471927,0.7247924887739828,0.7291184327693677,0.6186158960411,0.6693370391563803,0.7865204950345442,0.7319491788038426,0.7055944055944056,0.6944253269098417,0.6999653139091224,0.8066624974491994
2,0.47418112344269653,0.7711933596407674,0.7873918417799752,0.6737685101239045,0.7261623646282876,0.8492524887121531,0.789587852494577,0.8365217391304348,0.6620784583620096,0.7391471379177872,0.8742561942751885
3,0.4302483191136048,0.8041230099333243,0.8151019720209001,0.7307343608340888,0.7706158871803044,0.8793706744881198,0.8165478772854045,0.8441247002398081,0.7267721954576738,0.7810650887573964,0.9013497712232438
4,0.38010988585545524,0.8277997006395428,0.8279569892473119,0.7795406467210637,0.8030196902482684,0.9074701664976108,0.8283235202974899,0.8362004487658938,0.7694425326909842,0.8014336917562724,0.9096729466151359
5,0.32462730650284344,0.8623622261532181,0.8631262841789158,0.8251737685101239,0.8437234453456933,0.9334922814017578,0.8342113418035327,0.8236953455571228,0.8038540949759119,0.8136537791710206,0.9126885167801951
6,0.27087095504478675,0.8867192815349028,0.8850878556989582,0.8600785735871864,0.8724040156333819,0.9545113798551207,0.8475364115277347,0.8828685258964143,0.7625602202339986,0.8183161004431314,0.9284456758981728
7,0.2165287489120132,0.912845285072799,0.912250888305268,0.8922635237231792,0.9021465128714384,0.9706084366369546,0.8459869848156182,0.8509544787077826,0.7976600137646249,0.8234458259325045,0.9256128322927101
8,0.17613300785748642,0.9308749489726493,0.9286807468625651,0.9168933212450892,0.9227493917274939,0.980385664359727,0.844747443445925,0.8390313390313391,0.8107364074328974,0.8246412320616031,0.9245290814556983
9,0.14814850839307903,0.9432575860661314,0.9422018348623853,0.9310970081595649,0.9366165070679434,0.9860465120628109,0.8413387046792686,0.7891825445605408,0.8836889194769443,0.8337662337662337,0.9240765325559761
10,0.12120787599178486,0.955232004354334,0.9563552833078101,0.9436385614989423,0.9499543656829936,0.9901324283606967,0.844747443445925,0.8783783783783784,0.760495526496903,0.8151973441534489,0.9244322868131946
