,precision,recall,f1-score,support
Worsened,0.0,0.0,0.0,24.0
Stable,0.0,0.0,0.0,20.0
Improved,0.26666666666666666,1.0,0.42105263157894735,16.0
accuracy,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666
macro avg,0.08888888888888889,0.3333333333333333,0.14035087719298245,60.0
weighted avg,0.07111111111111111,0.26666666666666666,0.11228070175438595,60.0
AUC,,,,0.5596492704826038
