,precision,recall,f1_score,accuracy,auc,tn,fp,fn,tp
mean,0.8050549450549451,1.0,0.8917545874010321,0.81,0.7939391241180589,78.0,0.0,19.0,3.0
std,0.032862655276502596,0.0,0.020260830187929613,0.03999999999999998,0.10332253986480312,2.6457513110645907,0.0,4.0,5.196152422706632
