epoch,train_loss,train_acc,train_prec,train_rec,train_f1,train_auc,val_acc,val_prec,val_rec,val_f1,val_auc
1,0.5388974468745656,0.7253367805143557,0.7172924734803839,0.6436990027198549,0.6785060125826232,0.7975906824023291,0.7929965912612333,0.8112609040444092,0.7040605643496215,0.7538688282977155,0.8618499919693423
2,0.4601318757004136,0.7835759967342496,0.7860829032795073,0.71350861287398,0.748039603960396,0.8600587600124474,0.8224356987914472,0.8486529318541997,0.7370956641431521,0.7889502762430939,0.8972900215780282
3,0.4031341324303952,0.8199074704041366,0.8262941659819227,0.7597461468721668,0.7916240258206723,0.8954339200919185,0.8097303997520917,0.8953817153628653,0.653819683413627,0.7557677008750995,0.9037929145545778
4,0.3494235900787067,0.8478024220982446,0.8539343997414768,0.7985796313085525,0.8253298977121887,0.9222135606013004,0.8283235202974899,0.7875879718490083,0.8472126634549209,0.8163129973474801,0.9170171188793391
5,0.2884508505700738,0.8781466866240305,0.8832777513101477,0.8404351767905711,0.8613240418118467,0.9474235246507425,0.837620080570189,0.7923222152297043,0.8664831383344804,0.8277449046679816,0.9198319226015296
6,0.23737736161488135,0.9023676690706218,0.9088184256191828,0.8705046841946207,0.8892490545651,0.9642906085712832,0.8292531763247598,0.7713598074608905,0.8823124569855472,0.8231139646869984,0.9247560348258976
7,0.1961526013165915,0.924207375153082,0.9312127859605139,0.8980054397098821,0.9143076923076923,0.9750134085258028,0.8571428571428571,0.8387978142076503,0.8451479697178252,0.8419609187521426,0.9271885094090602
8,0.1598140460201382,0.9384950333378691,0.9408950617283951,0.9212753097612572,0.9309818292869141,0.9838215009170909,0.847846296870158,0.8552437223042836,0.7969717825189263,0.8250801567509797,0.9291364288479846
9,0.12982267900955305,0.9505374880936182,0.9518331032366928,0.9375944394076761,0.9446601202709903,0.989065487464431,0.8503253796095445,0.856093979441997,0.8024776324845148,0.8284191829484903,0.9307150156229269
