epoch,train_loss,train_acc,train_prec,train_rec,train_f1,train_auc,val_acc,val_prec,val_rec,val_f1,val_auc
1,0.5527433020359673,0.7255408899169955,0.7226818338503964,0.633575098216984,0.6752012882447666,0.7872952628445073,0.7867988844127672,0.7891156462585034,0.7185134205092911,0.7521613832853026,0.8692273343414977
2,0.4768742869351712,0.778677371070894,0.7826306064169326,0.7039891205802358,0.7412298146527723,0.8499216339925016,0.7775023241400681,0.7150380339379754,0.8410185822436339,0.7729285262492094,0.8780606698732397
3,0.4090178836505937,0.8185467410532045,0.8244375102644113,0.7585373224539136,0.7901156842685134,0.8924060711261516,0.8103501704369384,0.8717948717948718,0.678596008258775,0.7631578947368421,0.9005690128343101
4,0.33869171453289226,0.8572594910872228,0.8591862682771774,0.8168631006346329,0.8374903175832688,0.926790767528702,0.8404090486519987,0.8321529745042493,0.8086717136958018,0.8202443280977313,0.9160825365394926
5,0.2642726538970385,0.890801469587699,0.8921921452041934,0.8615896041100031,0.8766238757783074,0.9559663171099521,0.8084908583823985,0.8972407231208372,0.6490020646937371,0.7531948881789138,0.9095614097024312
