epoch,train_acc,train_prec,train_rec,train_f1,train_auc,val_acc,val_prec,val_rec,val_f1,val_auc
1,0.6573751451800233,0.7,0.7703984819734345,0.7335140018066847,0.6953607017464123,0.6585365853658537,0.6653543307086615,0.8047619047619048,0.728448275862069,0.6825995807127884
2,0.6777003484320557,0.7171453437771975,0.7817836812144212,0.7480708125283704,0.7327602858798532,0.6720867208672087,0.751412429378531,0.6333333333333333,0.6873385012919897,0.767924528301887
3,0.6898954703832753,0.731729055258467,0.7789373814041746,0.7545955882352942,0.7490824802008886,0.6558265582655827,0.7371428571428571,0.6142857142857143,0.6701298701298701,0.72764300688829
4,0.7229965156794426,0.7550839964633068,0.8102466793168881,0.7816933638443936,0.7850617550477792,0.7073170731707317,0.7318181818181818,0.7666666666666667,0.7488372093023256,0.7405810122791254
5,0.7398373983739838,0.7671957671957672,0.825426944971537,0.7952468007312614,0.8025187764887681,0.6747967479674797,0.6973684210526315,0.7571428571428571,0.726027397260274,0.7471997604073075
6,0.7624854819976771,0.7945205479452054,0.825426944971537,0.8096789204281061,0.8295841902532696,0.6666666666666666,0.7081339712918661,0.7047619047619048,0.7064439140811456,0.7483378256963162
7,0.7915214866434379,0.8167730173199635,0.8500948766603416,0.8331008833100884,0.8584917451624267,0.6178861788617886,0.6419753086419753,0.7428571428571429,0.6887417218543046,0.6866127583108715
8,0.7996515679442509,0.8219800181653043,0.8586337760910816,0.839907192575406,0.8737259825699644,0.6612466124661247,0.6808510638297872,0.7619047619047619,0.7191011235955056,0.7503444144953579
9,0.8408826945412311,0.8658536585365854,0.8757115749525617,0.870754716981132,0.9171221125112204,0.6639566395663956,0.6919642857142857,0.7380952380952381,0.7142857142857143,0.7202455825097336
