epoch,train_acc,train_prec,train_rec,train_f1,train_auc,val_acc,val_prec,val_rec,val_f1,val_auc
1,0.36722306525037934,0.3459858102517028,0.3387321752163075,0.3271303499412814,0.5030269655762772,0.36904761904761907,0.2343876723438767,0.3324996979581974,0.18972934499851982,0.5061010491120386
2,0.4324734446130501,0.3862534933468426,0.37103259992372245,0.3547218402840791,0.5296360331588209,0.42142857142857143,0.3125,0.36786275220490516,0.2949166420505485,0.4623267892789924
3,0.40819423368740515,0.38428191382786014,0.3761444119599951,0.37483000836996,0.5328559662598107,0.4142857142857143,0.3393799472295515,0.36724658692763085,0.2624700775406888,0.5281381264006036
4,0.4218512898330804,0.38920404244476137,0.37908593550617936,0.37283892751205333,0.53585038093417,0.38095238095238093,0.4283360693918714,0.37410481058854406,0.3169086050375155,0.5303218325259634
5,0.4451188669701568,0.40865289723265596,0.4031357244705502,0.40193274265019535,0.5545452354655943,0.4452380952380952,0.4912820512820512,0.39303498546727605,0.3446323432632233,0.5479200335872938
6,0.4309559939301973,0.39067765294643775,0.38953432324191545,0.3877719859457236,0.5447308073815501,0.38095238095238093,0.4587458745874587,0.34773926918382053,0.22051196105081916,0.510434040881874
7,0.4400606980273141,0.40792242552163466,0.39845318532791624,0.39715150878451677,0.5503829584465885,0.3952380952380952,0.43294831114272236,0.4248890777518091,0.391150901077074,0.5679332179494894
8,0.42994436014162873,0.40739190455014523,0.4045827321593059,0.40551571152527877,0.5534327683005369,0.4,0.3992724258611162,0.39169586404091655,0.3863011400983849,0.5460735669802271
9,0.4309559939301973,0.4019731739476338,0.39344906325346235,0.3935617293049605,0.5451055436714801,0.3761904761904762,0.39850390033764116,0.340354312393157,0.20259148557020898,0.5056032496844216
10,0.4289327263530602,0.3956220030320932,0.3919149599107475,0.39150679674660577,0.5455779782491993,0.35,0.41144555721549025,0.40692377020381915,0.3193083494345766,0.5512011571979569
11,0.45472938796155793,0.42164681958990063,0.41388164897359125,0.4104278002540757,0.5631046156793083,0.2904761904761905,0.37891319207108687,0.37253808156933976,0.27059110204814485,0.5278510562946442
12,0.4289327263530602,0.4006525485490489,0.40059987373958045,0.4005994892463966,0.5522581487660938,0.40476190476190477,0.4758893280632411,0.381871659313511,0.29859914039646357,0.5355366756298142
