,precision,recall,f1-score,support
Not Improved,0.9166666666666666,0.4230769230769231,0.5789473684210527,52.0
Improved,0.16666666666666666,0.75,0.2727272727272727,8.0
accuracy,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667
macro avg,0.5416666666666666,0.5865384615384616,0.4258373205741627,60.0
weighted avg,0.8166666666666667,0.4666666666666667,0.5381180223285487,60.0
AUC,,,0.5913461538461539,0.5913461538461539
