,precision,recall,f1-score,support
Worsened,0.4482758620689655,0.8125,0.5777777777777777,16.0
Stable,0.375,0.17647058823529413,0.24,17.0
Improved,0.5555555555555556,0.38461538461538464,0.45454545454545453,13.0
accuracy,0.45652173913043476,0.45652173913043476,0.45652173913043476,0.45652173913043476
macro avg,0.45961047254150705,0.4578619909502262,0.4241077441077441,46.0
weighted avg,0.4515138264201233,0.45652173913043476,0.4181203337725076,46.0
AUC,,,,0.6556826850183848
