epoch,train_loss,train_acc,train_prec,train_rec,train_f1,train_auc,val_acc,val_prec,val_rec,val_f1,val_auc
1,0.5398358312699948,0.7347938495033338,0.7325581395348837,0.6473254759746147,0.6873094817904701,0.7984006172036061,0.7595289742795166,0.8707557502738226,0.547143840330351,0.6720202874049028,0.844730142743971
2,0.4595817699623056,0.7894951694108042,0.7976351351351352,0.71350861287398,0.7532301802520338,0.8614806808763379,0.7960954446854663,0.7781665500349895,0.7653131452167928,0.7716863289382373,0.8769893335795551
3,0.3890631989544507,0.8299088311334876,0.8392092257001648,0.7697189483227561,0.8029634300126104,0.9035382799386014,0.821196157421754,0.8020689655172414,0.8004129387474191,0.8012400964519463,0.9023600046864901
4,0.3184735041407623,0.8686215811675058,0.8770716009654063,0.8236627379873074,0.8495285591833555,0.9357708050950154,0.8515649209792376,0.8424753867791842,0.8245010323468686,0.833391304347826,0.925353290746277
5,0.24894962352077285,0.9010749761872363,0.905083150298086,0.871713508612874,0.8880849753694581,0.9610444923685477,0.8298729470096065,0.7749391727493917,0.8768066070199587,0.8227316758153052,0.9163108477503684
6,0.18547478434807085,0.9300585113620901,0.9302647783251231,0.9131157449380477,0.9216104926033247,0.9780301678739951,0.8404090486519987,0.8448529411764706,0.7907777013076394,0.8169214361891219,0.9165599145258692
7,0.1355072862957123,0.9495849775479657,0.9500689232654311,0.9372922333031127,0.9436373317106564,0.9883344983977091,0.8438177874186551,0.7927205428747687,0.8843771507226428,0.8360442420299284,0.9255042050385975
8,0.10266299397401893,0.9623758334467274,0.9622008840115835,0.9539135690540949,0.9580393049548525,0.9929972711686401,0.8506352649519677,0.8090388287714831,0.874741913282863,0.8406084656084656,0.9285830117837292
9,0.0814509419480177,0.9701319907470404,0.9681769965146234,0.9653974010275007,0.9667852008776575,0.9953260160558214,0.8497056089246978,0.8655589123867069,0.7887130075705437,0.8253510983075261,0.9218822620229032
10,0.06661603412201646,0.9777520751122601,0.9778216618562965,0.9726503475370203,0.9752291493068707,0.9966977063753519,0.8574527424852805,0.8479327259985985,0.8327598072952512,0.8402777777777778,0.9228110250455652
