,precision,recall,f1_score,accuracy,auc,tn,fp,fn,tp
mean,0.6982329317269076,0.9583333333333334,0.80746781502673,0.6888215488215489,0.5445410347834626,66.0,2.6666666666666665,28.333333333333332,2.6666666666666665
std,0.028555064125840305,0.07216878364870323,0.04176328135711429,0.04178014340514064,0.1049603265981941,8.888194417315589,4.618802153517007,2.3094010767585034,4.618802153517007
