,precision,recall,f1-score,support
Worsened,0.6153846153846154,0.32,0.42105263157894735,25.0
Stable,0.6111111111111112,0.4583333333333333,0.5238095238095238,24.0
Improved,0.20689655172413793,0.5454545454545454,0.3,11.0
accuracy,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667
macro avg,0.4777974260732882,0.44126262626262625,0.414954051796157,60.0
weighted avg,0.5387857353374594,0.4166666666666667,0.4399624060150376,60.0
AUC,,,,0.5598463776082824
