,precision,recall,f1-score,support
Worsened,0.3333333333333333,0.07692307692307693,0.125,13.0
Stable,0.8,0.11764705882352941,0.20512820512820512,34.0
Improved,0.23076923076923078,0.9230769230769231,0.36923076923076925,13.0
accuracy,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.2833333333333333
macro avg,0.4547008547008547,0.37254901960784315,0.2331196581196581,60.0
weighted avg,0.5755555555555555,0.2833333333333333,0.22332264957264958,60.0
AUC,,,,0.5400500625782229
