epoch,train_acc,train_prec,train_rec,train_f1,train_auc,val_acc,val_prec,val_rec,val_f1,val_auc
1,0.5223880597014925,0.7307692307692307,0.57,0.6404494382022472,0.5067647058823529,0.6764705882352942,0.6764705882352942,1.0,0.8070175438596491,0.5138339920948616
2,0.7313432835820896,0.7461538461538462,0.97,0.8434782608695652,0.5958823529411764,0.5294117647058824,0.64,0.6956521739130435,0.6666666666666666,0.4901185770750988
3,0.6567164179104478,0.8375,0.67,0.7444444444444445,0.6767647058823529,0.6764705882352942,0.6764705882352942,1.0,0.8070175438596491,0.5177865612648221
4,0.7611940298507462,0.8148148148148148,0.88,0.8461538461538461,0.7076470588235293,0.6764705882352942,0.6764705882352942,1.0,0.8070175438596491,0.4980237154150198
5,0.5895522388059702,0.8169014084507042,0.58,0.6783625730994152,0.6755882352941176,0.6764705882352942,0.6764705882352942,1.0,0.8070175438596491,0.5019762845849802
6,0.7313432835820896,0.872093023255814,0.75,0.8064516129032258,0.696764705882353,0.6764705882352942,0.6764705882352942,1.0,0.8070175438596491,0.5019762845849802
