,precision,recall,f1_score,accuracy,auc,tn,fp,fn,tp
mean,0.6912664055521199,1.0,0.8159960793923059,0.6912664055521199,0.5859992932293973,68.0,0.0,30.333333333333332,0.0
std,0.07291102192198025,0.0,0.05074898459944562,0.07291102192198025,0.07678403723373581,7.54983443527075,0.0,7.023769168568492,0.0
