epoch,train_acc,train_prec,train_rec,train_f1,train_auc,val_acc,val_prec,val_rec,val_f1,val_auc
1,0.533678756476684,0.2689450222882615,0.44254278728606355,0.3345656192236599,0.5098198033238909,0.5632530120481928,0.24545454545454545,0.30337078651685395,0.271356783919598,0.5282286031349701
2,0.533678756476684,0.29987129987129985,0.5696821515892421,0.39291736930860033,0.5400794890298676,0.5301204819277109,0.2624113475177305,0.4157303370786517,0.3217391304347826,0.5009478892125584
3,0.4727979274611399,0.2722159730033746,0.5916870415647921,0.3728813559322034,0.521579440560947,0.3855421686746988,0.26141078838174275,0.7078651685393258,0.38181818181818183,0.47676515466777636
4,0.5453367875647669,0.2749615975422427,0.43765281173594134,0.33773584905660375,0.5348771582133278,0.3373493975903614,0.27177700348432055,0.8764044943820225,0.4148936170212766,0.5174550330605261
5,0.5103626943005182,0.2975495915985998,0.6234718826405868,0.4028436018957346,0.5575283004642245,0.49698795180722893,0.305,0.6853932584269663,0.42214532871972316,0.5552781245665142
6,0.4993523316062176,0.30043859649122806,0.6699266503667481,0.41483724451173354,0.563116228471721,0.4427710843373494,0.2623762376237624,0.5955056179775281,0.3642611683848797,0.5020113746705507
7,0.5265544041450777,0.2997512437810945,0.589242053789731,0.3973619126133553,0.5452128862703703,0.4879518072289157,0.29015544041450775,0.6292134831460674,0.3971631205673759,0.5310953900217321
8,0.46049222797927464,0.29215686274509806,0.7286063569682152,0.417074877536739,0.562991286365154,0.6355421686746988,0.24193548387096775,0.16853932584269662,0.1986754966887417,0.5051555925463541
9,0.5382124352331606,0.2847025495750708,0.49144254278728605,0.36053811659192825,0.5435983326691296,0.43373493975903615,0.27802690582959644,0.6966292134831461,0.3974358974358974,0.5175937485550469
10,0.5025906735751295,0.3003337041156841,0.6601466992665037,0.41284403669724773,0.573456264877266,0.4307228915662651,0.2474747474747475,0.550561797752809,0.34146341463414637,0.4943820224719101
