,precision,recall,f1-score,support
Not Improved,0.8333333333333334,0.38461538461538464,0.5263157894736842,39.0
Improved,0.42857142857142855,0.8571428571428571,0.5714285714285714,21.0
accuracy,0.55,0.55,0.55,0.55
macro avg,0.6309523809523809,0.6208791208791209,0.5488721804511278,60.0
weighted avg,0.6916666666666667,0.55,0.5421052631578948,60.0
AUC,,,0.601953601953602,0.601953601953602
