,precision,recall,f1-score,support
Not Improved,1.0,0.17391304347826086,0.2962962962962963,46.0
Improved,0.2692307692307692,1.0,0.42424242424242425,14.0
accuracy,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.36666666666666664
macro avg,0.6346153846153846,0.5869565217391304,0.3602693602693603,60.0
weighted avg,0.8294871794871794,0.36666666666666664,0.32615039281705954,60.0
AUC,,,0.6304347826086956,0.6304347826086956
