epoch,train_loss,train_acc,train_prec,train_rec,train_f1,train_auc,val_acc,val_prec,val_rec,val_f1,val_auc
1,0.5433325614857206,0.7246376811594203,0.7219343696027634,0.6317062112739912,0.6738131699846861,0.7939545717077375,0.7809110629067245,0.813973063973064,0.6655196145905025,0.7322983718288527,0.8638091620881573
2,0.4642241715906559,0.7796148873919848,0.7890143737166324,0.6968414689436301,0.7400690153278228,0.8566900980373087,0.8137589092035946,0.8261868300153139,0.7426015141087405,0.7821674519753534,0.8993764407659463
3,0.41073529226492617,0.815744709804722,0.8162109690988513,0.7624301042768626,0.7884044381934677,0.8921469807740938,0.8339014564611094,0.8647573587907716,0.748107364074329,0.8022140221402214,0.9114045814320332
4,0.35560433973555206,0.8436415595019392,0.8397042630171464,0.8067099894211879,0.8228765222753198,0.9204258514297855,0.8109699411217849,0.911219512195122,0.64280798348245,0.7538337368845843,0.9139185264557796
5,0.29564866263893663,0.8752126284275703,0.8850426662373209,0.8307390055916578,0.8570314936077331,0.9449209544273153,0.8428881313913852,0.8790064102564102,0.7549896765313145,0.8122917437985931,0.9237155409132913
6,0.24063715572094987,0.904606382254882,0.9091479679899577,0.8756233942874414,0.8920708237105466,0.9637731794941622,0.8528044623489309,0.8982084690553745,0.7591190640055059,0.8228273032450578,0.9349902739812123
7,0.19506834907674103,0.9239300537524665,0.9225449515905948,0.907208704851141,0.9148125571472112,0.9760869561151371,0.8574527424852805,0.8209437621202327,0.8740536820371645,0.8466666666666667,0.9312158648552813
8,0.1499512396408022,0.9422331087977138,0.9428746928746928,0.92791295148859,0.9353339934496153,0.9854838067114857,0.8410288193368454,0.8036175710594315,0.856159669649002,0.8290569810063312,0.9253302074547781
9,0.13079268212282727,0.9507382459005239,0.9501909854851032,0.9398518966298927,0.9449931621334143,0.9889910962911312,0.858072513170127,0.8592057761732852,0.8189951823812801,0.8386187455954898,0.9346265666571747
10,0.1067346695446236,0.9602639994556712,0.9580865603644647,0.9534532265377059,0.9557642781396758,0.9926863299901095,0.8379299659126124,0.877435064935065,0.7439779766001376,0.8052141527001863,0.9245797095152043
