epoch,train_acc,train_prec,train_rec,train_f1,train_auc,val_acc,val_prec,val_rec,val_f1,val_auc
1,0.664179104477612,0.7272727272727273,0.88,0.7963800904977375,0.5138235294117647,0.6764705882352942,0.6764705882352942,1.0,0.8070175438596491,0.5454545454545454
2,0.7014925373134329,0.75,0.9,0.8181818181818182,0.5585294117647059,0.6764705882352942,0.6764705882352942,1.0,0.8070175438596491,0.5612648221343873
3,0.746268656716418,0.746268656716418,1.0,0.8547008547008547,0.6188235294117647,0.6764705882352942,0.6764705882352942,1.0,0.8070175438596491,0.5652173913043479
4,0.746268656716418,0.775,0.93,0.8454545454545455,0.6176470588235294,0.6764705882352942,0.6764705882352942,1.0,0.8070175438596491,0.5573122529644269
5,0.753731343283582,0.7518796992481203,1.0,0.8583690987124464,0.6588235294117647,0.6764705882352942,0.6764705882352942,1.0,0.8070175438596491,0.5573122529644269
6,0.6940298507462687,0.7610619469026548,0.86,0.8075117370892019,0.5552941176470588,0.6764705882352942,0.6764705882352942,1.0,0.8070175438596491,0.5573122529644268
