epoch,train_loss,train_acc,train_prec,train_rec,train_f1,train_auc,val_acc,val_prec,val_rec,val_f1,val_auc
1,0.5430055762903605,0.7293509320996054,0.7378378378378379,0.6187669990933817,0.6730769230769231,0.793132001606779,0.7802912922218779,0.7751479289940828,0.7212663454920853,0.7472370766488413,0.8568816529343712
2,0.4618853827466189,0.7867056742413934,0.7967285738626683,0.7065578724690239,0.7489388964523104,0.8581281380064569,0.7840099163309575,0.8818181818181818,0.6008258774948383,0.7146950470732706,0.8821105266792415
3,0.3906139463907811,0.8277997006395428,0.8379361666942285,0.7656391659111514,0.8001579155151993,0.9023419290025104,0.8239851255035637,0.8176597272074659,0.7838953888506538,0.8004216444132115,0.9083525435459505
4,0.3093268657782165,0.8735202068308613,0.8845967350897043,0.8269870051375038,0.8548223350253807,0.9392658392652501,0.8351409978308026,0.8646080760095012,0.7515485203028217,0.8041237113402062,0.9168514623168177
5,0.234527771802005,0.9091032793577357,0.9159055118110236,0.8788153520701119,0.8969771745835904,0.9647009898745994,0.8252246668732569,0.882201203783319,0.7061252580867171,0.7844036697247706,0.9090605604700768
6,0.17251896702099725,0.9354333922982718,0.9399348129753221,0.9150800846177093,0.9273409386723834,0.9805792744958992,0.8487759528974279,0.8218812541694464,0.8479008947006194,0.8346883468834688,0.9245864987185864
7,0.11941416067275461,0.9563886243026262,0.958148091369002,0.9443940767603506,0.951221368236816,0.9904119783578539,0.8565230864580106,0.8466386554621849,0.8320715760495526,0.8392919125303714,0.9302995163759464
8,0.09488246644518623,0.9648251462784052,0.9653699466056446,0.9561801148383198,0.9607530554922948,0.9940124480489754,0.831422373721723,0.7726454709058188,0.8864418444597385,0.8256410256410256,0.9272356458782554
9,0.07965228441534908,0.970880391890053,0.9713676515382272,0.9637352674524026,0.9675364077669902,0.9956152344042203,0.8509451502943911,0.814359637774903,0.8664831383344804,0.8396132044014671,0.9281805090117945
10,0.06233298629599279,0.978976731528099,0.9803563270899954,0.9728014505893019,0.9765642775881683,0.9971634422621773,0.8528044623489309,0.8158914728682171,0.8692360633172747,0.8417194268577141,0.9313225523369991
