epoch,train_acc,train_prec,train_rec,train_f1,train_auc,val_acc,val_prec,val_rec,val_f1,val_auc
1,0.6527293844367015,0.6968911917098446,0.7656546489563567,0.7296564195298373,0.6726890147598541,0.5772357723577236,0.574585635359116,0.9904761904761905,0.7272727272727273,0.6843965259059599
2,0.6713124274099884,0.716696269982238,0.7656546489563567,0.7403669724770642,0.7318115192764376,0.6151761517615176,0.6517857142857143,0.6952380952380952,0.6728110599078341,0.660826594788859
3,0.6933797909407665,0.7352415026833632,0.7798861480075902,0.7569060773480663,0.7533732345555568,0.6287262872628726,0.6713615023474179,0.680952380952381,0.6761229314420804,0.7119496855345913
4,0.7415795586527294,0.7760652765185857,0.8121442125237192,0.7936949466852109,0.8108077014850754,0.7208672086720868,0.8364779874213837,0.6333333333333333,0.7208672086720868,0.7756813417190775
5,0.7717770034843205,0.8018264840182648,0.8330170777988615,0.8171242438343416,0.8370109875126407,0.6910569105691057,0.7181818181818181,0.7523809523809524,0.7348837209302326,0.764001197963462
6,0.8176538908246226,0.8438661710037175,0.8614800759013282,0.8525821596244132,0.8850643116044951,0.6802168021680217,0.7346938775510204,0.6857142857142857,0.7093596059113301,0.762503743635819
7,0.8432055749128919,0.8589743589743589,0.889943074003795,0.8741845293569431,0.912562919701394,0.6639566395663956,0.7415730337078652,0.6285714285714286,0.6804123711340206,0.7341120095837077
8,0.8937282229965157,0.9073900841908326,0.920303605313093,0.9138012246820537,0.9497878057925893,0.6829268292682927,0.689795918367347,0.8047619047619048,0.7428571428571429,0.7477388439652591
9,0.9291521486643438,0.9387947269303202,0.9459203036053131,0.94234404536862,0.9725667261302822,0.6666666666666666,0.7101449275362319,0.7,0.7050359712230215,0.721413596885295
10,0.9285714285714286,0.9298245614035088,0.9554079696394687,0.9424426766495086,0.9792691656535127,0.6802168021680217,0.73,0.6952380952380952,0.7121951219512195,0.7453429170410303
11,0.9663182346109176,0.9662921348314607,0.9791271347248577,0.9726672950047125,0.9944125032667114,0.6449864498644986,0.7025641025641025,0.6523809523809524,0.6765432098765433,0.707936507936508
12,0.9634146341463414,0.9670122525918945,0.9734345351043643,0.9702127659574468,0.9896857139610722,0.6558265582655827,0.7318435754189944,0.6238095238095238,0.6735218508997429,0.707696915244085
13,0.9750290360046457,0.978240302743614,0.9810246679316889,0.9796305068687826,0.9964265018350396,0.6287262872628726,0.6489795918367347,0.7571428571428571,0.6989010989010989,0.7188978736148547
