,precision,recall,f1_score,accuracy,auc,tn,fp,fn,tp
mean,0.8642755683942022,0.98989898989899,0.9211457806977834,0.8587301587301588,0.7289361988610108,71.0,0.6666666666666666,11.333333333333334,1.6666666666666667
std,0.1028857205637381,0.017495462702715982,0.06415073597571283,0.11208134325293052,0.2342699378759552,6.557438524302,1.1547005383792517,8.621678104251709,2.8867513459481287
