,precision,recall,f1-score,support
Worsened,0.3,0.25,0.2727272727272727,24.0
Stable,0.24,0.2857142857142857,0.2608695652173913,21.0
Improved,0.25,0.25,0.25,16.0
accuracy,0.26229508196721313,0.26229508196721313,0.26229508196721313,0.26229508196721313
macro avg,0.26333333333333336,0.2619047619047619,0.2611989459815547,61.0
weighted avg,0.2662295081967213,0.26229508196721313,0.26268385926261906,61.0
AUC,,,,0.4718504218504218
