,precision,recall,f1_score,accuracy,auc,tn,fp,fn,tp
mean,0.7182307459066101,0.980952380952381,0.8278336295907761,0.7128794387170676,0.533983291445978,66.33333333333333,1.3333333333333333,26.333333333333332,2.3333333333333335
std,0.050462899066569575,0.03299144395369291,0.020624389295663393,0.04119994887374752,0.13935042735731068,0.5773502691896257,2.3094010767585034,6.350852961085883,4.041451884327381
