,precision,recall,f1_score,accuracy,auc,tn,fp,fn,tp
mean,0.7652214394016233,0.8179899083513541,0.7718849651166041,0.6526072607260726,0.5613679505410812,63.0,15.0,20.0,2.6666666666666665
std,0.038058855217121164,0.2617063591292846,0.12493088689233796,0.1367206400356472,0.04855047912086027,17.320508075688775,21.79449471770337,8.54400374531753,3.785938897200183
