,precision,recall,f1_score,accuracy,auc,tn,fp,fn,tp
mean,0.8592925402938242,0.9674796747967479,0.9086052159222892,0.835672514619883,0.5866868615801543,78.0,2.6666666666666665,13.0,1.6666666666666667
std,0.03762248005679218,0.056326855530695115,0.005938260583739383,0.005639561848533846,0.1727936212718824,3.4641016151377544,4.618802153517007,4.358898943540674,2.8867513459481287
