,precision,recall,f1-score,support
Not Improved,0.7692307692307693,0.20408163265306123,0.3225806451612903,49.0
Improved,0.1875,0.75,0.3,12.0
accuracy,0.3114754098360656,0.3114754098360656,0.3114754098360656,0.3114754098360656
macro avg,0.47836538461538464,0.4770408163265306,0.31129032258064515,61.0
weighted avg,0.6547919293820933,0.3114754098360656,0.3181385510312004,61.0
AUC,,,0.5697278911564625,0.5697278911564625
