,precision,recall,f1_score,accuracy,auc,tn,fp,fn,tp
mean,0.6776680931659893,0.9947916666666666,0.8060047479402318,0.6751597319619761,0.4694627593908615,62.333333333333336,0.3333333333333333,29.666666666666668,0.0
std,0.019211659212396166,0.009021097956087904,0.011948514159181989,0.016667311417699615,0.17037010004320383,1.1547005383792517,0.5773502691896258,2.081665999466133,0.0
