,precision,recall,f1-score,support
Not Improved,0.8518518518518519,0.4791666666666667,0.6133333333333333,48.0
Improved,0.2647058823529412,0.6923076923076923,0.3829787234042553,13.0
accuracy,0.5245901639344263,0.5245901639344263,0.5245901639344263,0.5245901639344263
macro avg,0.5582788671023965,0.5857371794871795,0.4981560283687943,61.0
weighted avg,0.7267223829422478,0.5245901639344263,0.5642413672828741,61.0
AUC,,,0.6201923076923076,0.6201923076923076
